loan_id,account_id,date_loan.csv,amount,duration,payments,status,district_id,frequency,date_account.csv,order.csv_order_id,order.csv_bank_to,order.csv_account_to,order.csv_amount,order.csv_k_symbol,disp.csv_disp_id,disp.csv_client_id,disp.csv_type,trans.csv_trans_id,trans.csv_date,trans.csv_type,trans.csv_operation,trans.csv_amount,trans.csv_balance,trans.csv_k_symbol,trans.csv_bank,trans.csv_account
4959,2,1994-01-05,80952,24,3373.0,A,1,POPLATEK MESICNE,1993-02-26,2.0,2.0,2.0,2.0,2.0,2,2,2,478,478,478,408,478,478,224,159,478
4961,19,1996-04-29,30276,12,2523.0,B,21,POPLATEK MESICNE,1995-04-07,1.0,1.0,1.0,1.0,1.0,1,1,1,303,303,303,213,303,303,178,53,303
4962,25,1997-12-08,30276,12,2523.0,A,68,POPLATEK MESICNE,1996-07-28,4.0,4.0,4.0,4.0,3.0,1,1,1,274,274,274,246,274,274,147,93,274
4967,37,1998-10-14,318480,60,5308.0,D,20,POPLATEK MESICNE,1997-08-18,4.0,4.0,4.0,4.0,3.0,1,1,1,130,130,130,113,130,130,74,43,130
4968,38,1998-04-19,110736,48,2307.0,C,19,POPLATEK TYDNE,1997-08-08,4.0,4.0,4.0,4.0,3.0,1,1,1,130,130,130,113,130,130,74,62,130
4973,67,1996-05-02,165960,24,6915.0,A,16,POPLATEK MESICNE,1994-10-19,3.0,3.0,3.0,3.0,2.0,1,1,1,382,382,382,332,382,382,211,166,382
4986,97,1997-08-10,102876,12,8573.0,A,74,POPLATEK MESICNE,1996-05-05,5.0,5.0,5.0,5.0,3.0,2,2,2,274,274,274,242,274,274,180,121,274
4988,103,1997-12-06,265320,36,7370.0,D,44,POPLATEK MESICNE,1996-03-10,1.0,1.0,1.0,1.0,1.0,1,1,1,185,185,185,139,185,185,85,11,185
4989,105,1998-12-05,352704,48,7348.0,C,21,POPLATEK MESICNE,1997-07-10,1.0,1.0,1.0,1.0,1.0,1,1,1,59,59,59,43,59,59,24,1,59
4990,110,1997-09-08,162576,36,4516.0,C,36,POPLATEK MESICNE,1996-07-17,3.0,3.0,3.0,3.0,2.0,1,1,1,209,209,209,180,209,209,117,64,209
4996,132,1996-11-06,88440,12,7370.0,A,40,POPLATEK PO OBRATU,1996-05-11,1.0,1.0,1.0,1.0,1.0,2,2,2,198,198,198,166,198,198,73,12,198
5002,173,1994-05-31,104808,12,8734.0,A,66,POPLATEK MESICNE,1993-11-26,5.0,5.0,5.0,5.0,3.0,2,2,2,572,572,572,511,572,572,357,240,572
5005,176,1997-04-10,27456,12,2288.0,A,71,POPLATEK TYDNE,1996-08-12,4.0,4.0,4.0,4.0,3.0,1,1,1,274,274,274,245,274,274,145,90,274
5015,226,1998-07-12,109344,12,9112.0,C,70,POPLATEK MESICNE,1997-02-23,2.0,2.0,2.0,2.0,2.0,1,1,1,129,129,129,107,129,129,63,24,129
5027,276,1998-12-02,160920,36,4470.0,C,38,POPLATEK MESICNE,1997-12-08,2.0,2.0,2.0,2.0,2.0,1,1,1,65,65,65,52,65,65,30,22,65
5032,290,1994-11-03,123696,48,2577.0,A,56,POPLATEK MESICNE,1993-12-02,3.0,3.0,3.0,3.0,2.0,1,1,1,491,491,491,431,491,491,275,160,491
5034,303,1998-05-30,112752,36,3132.0,C,71,POPLATEK MESICNE,1996-07-25,2.0,2.0,2.0,2.0,2.0,1,1,1,176,176,176,147,176,176,85,32,176
5036,309,1998-11-25,91248,48,1901.0,C,14,POPLATEK MESICNE,1997-04-25,1.0,1.0,1.0,1.0,1.0,1,1,1,108,108,108,88,108,108,36,1,108
5039,314,1997-05-03,66840,24,2785.0,C,15,POPLATEK PO OBRATU,1996-01-26,2.0,2.0,2.0,2.0,2.0,2,2,2,223,223,223,188,223,223,116,86,223
5041,319,1997-07-11,369000,60,6150.0,C,47,POPLATEK TYDNE,1995-10-17,4.0,4.0,4.0,4.0,3.0,1,1,1,376,376,376,338,376,376,200,126,376
5042,330,1998-07-12,331584,48,6908.0,C,42,POPLATEK MESICNE,1996-11-24,1.0,1.0,1.0,1.0,1.0,2,2,2,130,130,130,105,130,130,51,6,130
5043,339,1997-12-25,468060,60,7801.0,C,46,POPLATEK TYDNE,1996-09-11,3.0,3.0,3.0,3.0,2.0,2,2,2,216,216,216,188,216,216,109,86,216
5044,344,1994-12-21,100980,60,1683.0,C,54,POPLATEK MESICNE,1993-12-01,2.0,2.0,2.0,2.0,2.0,1,1,1,399,399,399,338,399,399,222,105,399
5045,347,1995-05-01,187224,24,7801.0,B,65,POPLATEK MESICNE,1993-12-13,1.0,1.0,1.0,1.0,1.0,1,1,1,379,379,379,318,379,379,146,22,379
5046,349,1998-09-09,42816,12,3568.0,C,72,POPLATEK MESICNE,1997-06-08,2.0,2.0,2.0,2.0,2.0,2,2,2,107,107,107,88,107,107,51,18,107
5051,378,1997-10-11,230400,60,3840.0,C,68,POPLATEK MESICNE,1996-07-22,5.0,5.0,5.0,5.0,3.0,1,1,1,344,344,344,314,344,344,185,127,344
5060,426,1994-07-19,252060,60,4201.0,D,1,POPLATEK MESICNE,1993-11-29,3.0,3.0,3.0,3.0,2.0,1,1,1,444,444,444,383,444,444,286,165,444
5061,440,1998-03-13,84288,48,1756.0,C,29,POPLATEK MESICNE,1996-12-22,2.0,2.0,2.0,2.0,2.0,1,1,1,147,147,147,123,147,147,71,28,147
5063,442,1997-07-10,357840,48,7455.0,D,54,POPLATEK MESICNE,1997-03-30,3.0,3.0,3.0,3.0,2.0,1,1,1,80,80,80,63,80,80,46,21,80
5072,472,1997-04-28,196800,24,8200.0,D,8,POPLATEK MESICNE,1996-10-11,1.0,1.0,1.0,1.0,1.0,1,1,1,159,159,159,133,159,159,68,45,159
5082,501,1996-10-24,262980,60,4383.0,C,13,POPLATEK MESICNE,1995-10-21,1.0,1.0,1.0,1.0,1.0,1,1,1,233,233,233,195,233,233,100,26,233
5086,525,1997-07-16,210384,48,4383.0,C,70,POPLATEK MESICNE,1996-03-20,2.0,2.0,2.0,2.0,2.0,1,1,1,188,188,188,156,188,188,95,40,188
