index,ACCOUNT.CSV_account_id,ACCOUNT.CSV_district_id,ACCOUNT.CSV_frequency,ACCOUNT.CSV_date,CARD.CSV_card_id,CARD.CSV_disp_id,CARD.CSV_type,CARD.CSV_issued,CLINET.CSV_client_id,CLINET.CSV_gender,CLINET.CSV_birth_date,CLINET.CSV_district_id,DISP.CSV_disp_id,DISP.CSV_client_id,DISP.CSV_account_id,DISP.CSV_type,DISTRICT.CSV_district_id,DISTRICT.CSV_A2,DISTRICT.CSV_A3,DISTRICT.CSV_A4,DISTRICT.CSV_A5,DISTRICT.CSV_A6,DISTRICT.CSV_A7,DISTRICT.CSV_A8,DISTRICT.CSV_A9,DISTRICT.CSV_A10,DISTRICT.CSV_A11,DISTRICT.CSV_A12,DISTRICT.CSV_A13,DISTRICT.CSV_A14,DISTRICT.CSV_A15,DISTRICT.CSV_A16,LOAN.CSV_loan_id,LOAN.CSV_account_id,LOAN.CSV_date,LOAN.CSV_amount,LOAN.CSV_duration,LOAN.CSV_payments,LOAN.CSV_status,ORDER.CSV_order_id,ORDER.CSV_account_id,ORDER.CSV_bank_to,ORDER.CSV_account_to,ORDER.CSV_amount,ORDER.CSV_k_symbol,TRANS.CSV_trans_id,TRANS.CSV_account_id,TRANS.CSV_date,TRANS.CSV_type,TRANS.CSV_operation,TRANS.CSV_amount,TRANS.CSV_balance,TRANS.CSV_k_symbol,TRANS.CSV_bank,TRANS.CSV_account
ACCOUNT.CSV_account_id,,,,,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0024444444444444444,0,0,0,0,0,0,0,0,0.15155555555555555,0,0,0,0,0,0,0.8351111111111111,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
ACCOUNT.CSV_district_id,,,,,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0.06493506493506493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT.CSV_frequency,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOUNT.CSV_date,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARD.CSV_card_id,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005605381165919282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARD.CSV_disp_id,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARD.CSV_type,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARD.CSV_issued,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLINET.CSV_client_id,0,0,0,0,0,0,0,0,,,,,0,1.0,0,0,0,0,0,0,0,0,0,0,0.0020487986589681506,0,0,0,0,0,0,0,0,0,0,0,0.0009312721177127957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLINET.CSV_gender,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLINET.CSV_birth_date,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLINET.CSV_district_id,0,1.0,0,0,0,0,0,0,,,,,0,0,0,0,1.0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0.06493506493506493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISP.CSV_disp_id,0,0,0,0,0,0.16613894579996275,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0.0020487986589681506,0,0,0,0,0,0,0,0,0,0,0,0.0009312721177127957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISP.CSV_client_id,0,0,0,0,0,0,0,0,1.0,0,0,0,,,,,0,0,0,0,0,0,0,0,0.0020487986589681506,0,0,0,0,0,0,0,0,0,0,0,0.0009312721177127957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISP.CSV_account_id,1.0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0.0024444444444444444,0,0,0,0,0,0,0,0,0.15155555555555555,0,0,0,0,0,0,0.8351111111111111,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
DISP.CSV_type,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_district_id,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0.06493506493506493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT.CSV_A16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOAN.CSV_loan_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOAN.CSV_account_id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOAN.CSV_date,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOAN.CSV_amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
